FID,OBJECTID,ID,Delta_Pres,Region,RM_Lat,RM_Lon,num_MF_mat,MF_ID,wave_heigh,tidal_rang,bath_slope,sea_level_,F12,F13,F14,F15,F16,F17
0,1,0001,1.000000000000000,AFR,31.469135999999999,30.364771000000001,1.000000000000000,36,0.74434775114,0.272000000000000,0.001024991900000,3.409879790160000, , , , , , 
1,2,0002,1.000000000000000,AFR,32.378321999999997,23.090537000000001,0.000000000000000,NaN,1.2909622192,0.081000000000000,0.002007070000000,3.571046241850000, , , , , , 
2,3,0009,1.000000000000000,AFR,34.539499999999997,10.593567999999999,0.000000000000000,NaN,0.65142679214,0.837000000000000,0.001007772500000,1.652731949340000, , , , , , 
3,4,0011,1.000000000000000,AFR,35.988433000000001,10.505461000000000,0.000000000000000,NaN,1.1848275661,0.218000000000000,0.002786849400000,2.291023465400000, , , , , , 
4,5,0027,1.000000000000000,AFR,36.568288000000003,2.008598000000000,0.000000000000000,NaN,1.6734745502,0.170000000000000,0.076712959000000,2.439432425190000, , , , , , 
5,6,0028,1.000000000000000,AFR,36.334065000000002,0.740318000000000,0.000000000000000,NaN,1.5943595171,0.196500000000000,0.048171569000000,2.348444990080000, , , , , , 
6,7,0032,1.000000000000000,AFR,35.226779999999998,-3.195921000000000,0.000000000000000,NaN,NaN,0.385000000000000,0.003815983700000,3.112812237970000, , , , , , 
7,8,0033,1.000000000000000,AFR,35.218150999999999,-3.537134000000000,0.000000000000000,NaN,NaN,0.424000000000000,0.004938196900000,3.008119887910000, , , , , , 
8,9,0034,1.000000000000000,AFR,35.221587999999997,-3.559865000000000,0.000000000000000,NaN,NaN,0.427500000000000,0.004827272100000,3.008119887910000, , , , , , 
9,10,0036,1.000000000000000,AFR,35.202568999999997,-3.869621000000000,0.000000000000000,NaN,NaN,0.447000000000000,0.008713732500000,3.063829199620000, , , , , , 
10,11,0040,1.000000000000000,AFR,35.205984999999998,-4.682320000000000,0.000000000000000,NaN,NaN,0.491000000000000,0.014410208000000,2.458763148730000, , , , , , 
11,12,0041,1.000000000000000,AFR,35.331752999999999,-4.937453000000000,0.000000000000000,NaN,NaN,0.500000000000000,0.011287638000000,1.976476495580000, , , , , , 
12,13,0046,1.000000000000000,AFR,34.262988000000000,-6.679156000000000,1.000000000000000,105,2.5373601913,1.922000000000000,0.004154102900000,2.452648439880000, , , , , , 
13,14,0050,1.000000000000000,AFR,31.490141000000001,-9.773107000000000,0.000000000000000,NaN,2.8044097424,1.878000000000000,0.002353768300000,3.307802699320000, , , , , , 
14,15,0059,1.000000000000000,AFR,15.917968000000000,-16.518974000000000,1.000000000000000,142,2.2588312626,1.002000000000000,0.001733657100000,3.324730583020000, , , , , , 
15,16,0060,1.000000000000000,AFR,13.908775000000000,-16.761806000000000,1.000000000000000,143,0.91384482384,1.110000000000000,0.000394537670000,3.515656320860000, , , , , , 
16,17,0062,1.000000000000000,AFR,12.554440000000000,-16.767890000000001,1.000000000000000,141,1.0425312519,1.153500000000000,0.000436182540000,2.396828467070000, , , , , , 
17,18,0065,1.000000000000000,AFR,11.105478000000000,-15.217571000000000,0.000000000000000,NaN,0.51881229877,2.397500000000000,0.000081810271000,2.329032377440000, , , , , , 
18,19,0066,1.000000000000000,AFR,10.808332000000000,-14.856608000000000,1.000000000000000,52,0.76710480452,2.432000000000000,0.000215715480000,2.810370805420000, , , , , , 
19,20,0067,1.000000000000000,AFR,10.618337000000000,-14.656292000000001,0.000000000000000,NaN,0.76710480452,2.427500000000000,0.000214187820000,2.733738469680000, , , , , , 
20,21,0068,1.000000000000000,AFR,10.037045000000001,-14.079839000000000,1.000000000000000,51,0.44617092609,2.281000000000000,0.000364521430000,2.563756109180000, , , , , , 
21,22,0069,1.000000000000000,AFR,9.797675999999999,-13.763799000000001,1.000000000000000,53,0.44617092609,2.144500000000000,0.000244657010000,2.676861332690000, , , , , , 
22,23,0071,1.000000000000000,AFR,9.279577000000000,-13.336503000000000,0.000000000000000,NaN,0.71971714497,1.832500000000000,0.000234369570000,2.982956137920000, , , , , , 
23,24,0072,1.000000000000000,AFR,8.931825000000000,-13.245077000000000,2.000000000000000,"144, 146",0.71971714497,1.729500000000000,0.000304110520000,3.251191930910000, , , , , , 
24,25,0078,1.000000000000000,AFR,7.387798000000000,-12.526538000000000,2.000000000000000,"145, 150",1.3173763752,1.016500000000000,0.001729063300000,3.416191025440000, , , , , , 
25,26,0079,1.000000000000000,AFR,6.980076000000000,-11.607529000000000,2.000000000000000,"147, 148",1.7104306221,0.998000000000000,0.002037095100000,3.019567374960000, , , , , , 
26,27,0080,1.000000000000000,AFR,6.783831000000000,-11.366491999999999,0.000000000000000,NaN,1.8264409304,0.993000000000000,0.002168068400000,2.968570458460000, , , , , , 
27,28,0083,1.000000000000000,AFR,6.379283000000000,-10.800704000000000,1.000000000000000,72,1.5904808044,0.972500000000000,0.001988722700000,3.282592708730000, , , , , , 
28,29,0109,1.000000000000000,AFR,5.080261000000000,-5.576131000000000,0.000000000000000,NaN,1.6298346519,0.984000000000000,0.002612707400000,3.184597698890000, , , , , , 
29,30,0110,1.000000000000000,AFR,5.213783000000000,-5.244936000000000,1.000000000000000,60,1.8103597164,0.988500000000000,0.001201226800000,3.208447725730000, , , , , , 
30,31,0112,1.000000000000000,AFR,5.190957000000000,-3.722027000000000,2.000000000000000,"61, 62",1.7880302668,1.017000000000000,0.003884228200000,3.340068764110000, , , , , , 
31,32,0113,1.000000000000000,AFR,5.349420000000000,-3.202501000000000,1.000000000000000,59,1.6143387556,1.032000000000000,0.000282414290000,0.000000000000000, , , , , , 
32,33,0114,1.000000000000000,AFR,5.104580000000000,-2.940080000000000,1.000000000000000,65,1.6143387556,1.040000000000000,0.002078110100000,3.407951102720000, , , , , , 
33,34,0121,1.000000000000000,AFR,5.769258000000000,0.680730000000000,1.000000000000000,50,1.7865618467,1.209000000000000,0.001960653800000,3.244363107570000, , , , , , 
34,35,0123,1.000000000000000,AFR,6.452366000000000,2.526833000000000,1.000000000000000,26,1.846570611,1.241000000000000,0.000666172530000,3.516579441180000, , , , , , 
35,36,0124,1.000000000000000,AFR,4.323214000000000,5.968307000000000,2.000000000000000,"138, 140",1.7677346468,1.336000000000000,0.000650487780000,2.927657541380000, , , , , , 
36,37,0125,1.000000000000000,AFR,4.806151000000000,8.318749000000000,1.000000000000000,137,0.46328446269,1.513000000000000,0.000168349290000,2.898220101570000, , , , , , 
37,38,0127,1.000000000000000,AFR,4.517025000000000,8.750544000000000,0.000000000000000,NaN,0.46328446269,1.508000000000000,0.000414966290000,2.831883930220000, , , , , , 
38,39,0129,1.000000000000000,AFR,4.013801000000000,9.558217000000001,1.000000000000000,29,1.0538908243,1.423000000000000,0.000065016371000,2.546096597770000, , , , , , 
39,40,0131,1.000000000000000,AFR,3.926584000000000,9.668894000000000,0.000000000000000,NaN,1.0538908243,1.389000000000000,0.000063834530000,2.445653879960000, , , , , , 
40,41,0132,1.000000000000000,AFR,3.548456000000000,9.641446000000000,1.000000000000000,32,1.0538908243,1.346500000000000,0.001124383400000,2.339576307050000, , , , , , 
41,42,0142,1.000000000000000,AFR,-0.963261000000000,8.845602000000000,1.000000000000000,45,1.9058799744,1.170500000000000,0.001885213200000,2.836094295280000, , , , , , 
42,43,0147,1.000000000000000,AFR,-6.074738000000000,12.399068000000000,1.000000000000000,34,1.7900012732,1.106000000000000,0.002535356700000,3.365532897000000, , , , , , 
43,44,0159,1.000000000000000,AFR,-12.446154000000000,13.473962999999999,1.000000000000000,14,0.81810307503,0.938000000000000,0.004806850100000,2.057659592290000, , , , , , 
44,45,0160,1.000000000000000,AFR,-12.556530129200000,13.405604799600001,0.000000000000000,NaN,0.97978329659,0.936000000000000,0.003395520400000,2.057659592290000, , , , , , 
45,46,0161,1.000000000000000,AFR,-12.895125999999999,12.948451000000000,1.000000000000000,16,0.97978329659,0.929000000000000,0.025617730000000,2.316557820260000, , , , , , 
46,47,0164,1.000000000000000,AFR,-14.277388000000000,12.361822000000000,0.000000000000000,NaN,1.613740325,0.898000000000000,0.007976578500000,2.840154950940000, , , , , , 
47,48,0169,1.000000000000000,AFR,-17.252462999999999,11.750235000000000,1.000000000000000,19,2.8292703629,0.855000000000000,0.004633430400000,3.284787728130000, , , , , , 
48,49,0172,1.000000000000000,AFR,-20.490245000000002,13.266495000000001,0.000000000000000,NaN,2.8356986046,0.943000000000000,0.004396358500000,2.984226263070000, , , , , , 
49,50,0272,1.000000000000000,AFR,-25.871939000000001,32.734104000000002,1.000000000000000,110,1.9911645651,1.713000000000000,0.000394546810000,3.767757787770000, , , , , , 
50,51,0274,1.000000000000000,AFR,-20.884172000000000,35.084359999999997,1.000000000000000,126,1.054895997,2.785500000000000,0.001070058800000,4.748365517540000, , , , , , 
51,52,0276,1.000000000000000,AFR,-19.885819000000001,34.760441000000000,1.000000000000000,108,1.1496428251,3.553000000000000,0.000917994130000,7.676074439080000, , , , , , 
52,53,0277,1.000000000000000,AFR,-19.798470999999999,34.814214999999997,1.000000000000000,124,1.1496428251,3.538000000000000,0.000813521740000,7.151585685870000, , , , , , 
53,54,0284,1.000000000000000,AFR,-18.579637000000002,36.490765000000003,2.000000000000000,"114, 128",1.8912727833,2.503000000000000,0.001107721500000,4.544280925010000, , , , , , 
54,55,0286,1.000000000000000,AFR,-17.681324000000000,37.334125999999998,1.000000000000000,111,1.8936470747,2.498000000000000,0.000904370800000,3.906206215850000, , , , , , 
55,56,0289,1.000000000000000,AFR,-17.111218000000001,38.597734000000003,1.000000000000000,120,2.0330407619,2.531000000000000,0.001308165600000,3.741453468000000, , , , , , 
56,57,0293,1.000000000000000,AFR,-16.430099999999999,39.877381999999997,1.000000000000000,118,1.9686304331,2.650000000000000,0.006850268700000,3.819166186730000, , , , , , 
57,58,0297,1.000000000000000,AFR,-15.140670000000000,40.576503000000002,1.000000000000000,122,1.8119217157,2.765000000000000,0.004163373300000,3.653140142770000, , , , , , 
58,59,0298,1.000000000000000,AFR,-14.353923000000000,40.638424000000001,0.000000000000000,NaN,1.5030170679,2.798000000000000,0.007887611200000,3.905944066600000, , , , , , 
59,60,0300,1.000000000000000,AFR,-14.156639000000000,40.538409999999999,0.000000000000000,NaN,1.4579707384,2.800000000000000,0.012250203000000,3.995993236040000, , , , , , 
60,61,0303,1.000000000000000,AFR,-12.522601999999999,40.495375000000003,1.000000000000000,123,1.607542634,2.815000000000000,0.006535933800000,3.757125765250000, , , , , , 
61,62,0304,1.000000000000000,AFR,-11.694226000000000,40.439784000000003,1.000000000000000,119,1.1570321321,2.815500000000000,0.001316855200000,4.334134993240000, , , , , , 
62,63,0306,1.000000000000000,AFR,-10.470910999999999,40.438564999999997,1.000000000000000,125,1.5000498295,2.795000000000000,0.013241089000000,3.710744523850000, , , , , , 
63,64,0309,1.000000000000000,AFR,-7.764793000000000,39.359419000000003,1.000000000000000,189,1.0405454636,2.823500000000000,0.000680991040000,4.176465139910000, , , , , , 
64,65,0313,1.000000000000000,AFR,-6.116351000000000,38.817985999999998,1.000000000000000,191,0.22435407341,3.192000000000000,0.000310070810000,4.072423805560000, , , , , , 
65,66,0315,1.000000000000000,AFR,-4.058830000000000,39.588321999999998,0.000000000000000,NaN,2.1023111343,2.779000000000000,0.010327267000000,3.249857562620000, , , , , , 
66,67,0318,1.000000000000000,AFR,-2.539463000000000,40.534894000000001,1.000000000000000,67,2.2114424706,2.700500000000000,0.003673105700000,3.260849869510000, , , , , , 
67,68,0323,1.000000000000000,AFR,7.962437000000000,49.850285999999997,1.000000000000000,154,2.2344334126,1.606000000000000,0.001942165200000,3.556997802890000, , , , , , 
68,69,0324,1.000000000000000,AFR,9.602797000000001,50.807668999999997,1.000000000000000,152,2.6435616016,1.559000000000000,0.002775631400000,3.725804570220000, , , , , , 
69,70,0327,1.000000000000000,AFR,10.430936000000001,51.037649999999999,1.000000000000000,151,2.5722091198,1.566000000000000,0.001518710200000,4.186381529930000, , , , , , 
70,71,0328,1.000000000000000,AFR,10.661313000000000,51.146582000000002,0.000000000000000,NaN,3.0658197403,1.577000000000000,0.001752788100000,4.143929387490000, , , , , , 
71,72,0329,1.000000000000000,AFR,10.890591000000001,51.122022999999999,0.000000000000000,NaN,2.8038973808,1.585000000000000,0.003232298400000,4.179346208770000, , , , , , 
72,73,0330,1.000000000000000,AFR,10.999684000000000,51.124563999999999,0.000000000000000,NaN,2.8038973808,1.592000000000000,0.004025026200000,4.131389391310000, , , , , , 
73,74,0335,1.000000000000000,AFR,11.971833999999999,50.818980000000003,0.000000000000000,NaN,1.187838912,2.022000000000000,0.015215107000000,3.522038257580000, , , , , , 
74,75,0343,1.000000000000000,MAD,-12.356811000000000,48.962594000000003,0.000000000000000,NaN,1.4328269958,1.971000000000000,0.001144144100000,4.222881466180000, , , , , , 
75,76,0345,1.000000000000000,MAD,-12.991638000000000,48.883862999999998,0.000000000000000,NaN,0.56752890348,2.675000000000000,0.000843557410000,4.314690915880000, , , , , , 
76,77,0346,1.000000000000000,MAD,-13.307408000000001,48.791207000000000,0.000000000000000,NaN,0.56752890348,3.147000000000000,0.001954679100000,4.052995520520000, , , , , , 
77,78,0347,1.000000000000000,MAD,-13.705721000000000,48.310865999999997,1.000000000000000,93,0.57516485453,2.755500000000000,0.001574369600000,3.745689543720000, , , , , , 
