FID,OBJECTID,MouthLat,MouthLon,River,F4,Qav__m3_s_,Qmx__m3_s_,Qs__kg_s_,Qb__kg_s_,Qbmx__kg_s,Yield__T_k,Cs__kg_m3_,L__km_,Q_A__m_yr_,Dgrd__m_km,CN__Pre_da,CN__Modern,DSh__m_,Wa__m_,Ti__m_,AD__km2_,Dmm__mm_,TCw__km_,TCw__Rw,Pm__Pr,φ,TVs_ΘADDS
0,1,-0.666666666667000,308.920833333000020,Amazon,Brazil,198676.000000000000000,212000.000000000000000,37843.000000000000000,618.000000000000000,655.000000000000000,193.000000000000000,0.190000000000000,6516.000000000000000,0.990000000000000,0.000010000000000,9.000000000000000,8.000000000000000,50.000000000000000,2.000000000000000,6.000000000000000,467100.000000000000000,0.03,71.000000000000000,8.900000000000000,1.700000000000000,0.970000000000000,0.300000000000000
1,2,8.579166666670000,299.020833332999980,Orinoco,Ven,34500.000000000000000,58800.000000000000000,5493.000000000000000,170.000000000000000,290.000000000000000,180.000000000000000,0.160000000000000,2500.000000000000000,1.100000000000000,0.000020000000000,24.000000000000000,27.000000000000000,110.000000000000000,1.300000000000000,1.900000000000000,35642.000000000000000,–,28.399999999999999,15.800000000000001,0.400000000000000,1.090000000000000,0.300000000000000
2,3,23.225000000000001,90.633333333300001,Ganges/Brahma,Bng,31000.000000000000000,72000.000000000000000,34870.000000000000000,689.000000000000000,1601.000000000000000,701.000000000000000,1.120000000000000,2840.000000000000000,0.610000000000000,0.000090000000000,32.000000000000000,20.000000000000000,80.000000000000000,1.000000000000000,3.600000000000000,105641.000000000000000,0.16,85.500000000000000,28.500000000000000,0.200000000000000,2.550000000000000,0.800000000000000
3,4,31.941666666700002,120.237500000000000,Yangtze,China,28278.000000000000000,47500.000000000000000,15210.000000000000000,391.000000000000000,657.000000000000000,251.000000000000000,0.540000000000000,4670.000000000000000,0.460000000000000,0.000060000000000,4.000000000000000,4.000000000000000,50.000000000000000,1.500000000000000,4.500000000000000,35000.000000000000000,0.05,30.000000000000000,15.000000000000000,0.700000000000000,0.690000000000000,1.700000000000000
4,5,9.616666666670000,106.254166667000010,Mekong,Viet,17345.000000000000000,31000.000000000000000,3090.000000000000000,86.000000000000000,153.000000000000000,123.000000000000000,0.340000000000000,4425.000000000000000,0.670000000000000,0.000030000000000,9.000000000000000,9.000000000000000,30.000000000000000,1.500000000000000,2.600000000000000,49000.000000000000000,0.1,17.000000000000000,17.000000000000000,1.300000000000000,0.350000000000000,0.400000000000000
5,6,73.150806000000003,123.451250000000000,Lena,Rus,16240.000000000000000,74360.000000000000000,631.000000000000000,28.000000000000000,130.000000000000000,8.000000000000000,0.020000000000000,4400.000000000000000,0.200000000000000,0.000010000000000,115.000000000000000,115.000000000000000,20.000000000000000,1.000000000000000,1.000000000000000,24000.000000000000000,–,135.800000000000010,17.000000000000000,0.200000000000000,0.330000000000000,0.300000000000000
6,7,29.112500000000001,270.737500000000010,Mississippi,LA,15452.000000000000000,30482.000000000000000,12614.000000000000000,88.000000000000000,173.000000000000000,124.000000000000000,1.110000000000000,6020.000000000000000,0.150000000000000,0.000020000000000,71.000000000000000,71.000000000000000,80.000000000000000,0.500000000000000,0.400000000000000,38568.000000000000000,0.01,17.899999999999999,10.000000000000000,0.100000000000000,30.899999999999999,0.800000000000000
7,8,-33.933333333299998,301.479166667000020,Parana,Arg,14506.000000000000000,18000.000000000000000,2838.000000000000000,217.000000000000000,269.000000000000000,31.000000000000000,0.180000000000000,4500.000000000000000,0.150000000000000,0.000060000000000,12.000000000000000,20.000000000000000,40.000000000000000,0.500000000000000,4.000000000000000,12975.000000000000000,–,6.100000000000000,6.100000000000000,1.400000000000000,0.190000000000000,1.100000000000000
8,9,16.362500000000001,95.041666666699996,Irrawaddy,Burma,13558.000000000000000,25000.000000000000000,8119.000000000000000,258.000000000000000,475.000000000000000,614.000000000000000,0.610000000000000,2150.000000000000000,0.990000000000000,0.000080000000000,17.000000000000000,16.000000000000000,50.000000000000000,1.500000000000000,4.200000000000000,30570.000000000000000,0.05,25.800000000000001,23.199999999999999,0.900000000000000,0.420000000000000,1.100000000000000
9,10,69.450000000000003,225.849999999999990,MacKenzie,Can,9750.000000000000000,21295.000000000000000,3153.000000000000000,120.000000000000000,263.000000000000000,58.000000000000000,0.410000000000000,4250.000000000000000,0.170000000000000,0.000050000000000,23.000000000000000,23.000000000000000,100.000000000000000,1.200000000000000,0.200000000000000,13000.000000000000000,0.2,10.199999999999999,4.500000000000000,0.100000000000000,2.210000000000000,0.500000000000000
